Variant,CAP Code,Make,Model,Variant Full Description,Model Year,Doors,Fuel,Body,Seats,Gearbox,Gears,BHP,Eng CC,CO2,Com-bined MPG,Vehicle List Price,Vehicle List Price Including Metallic Paint,Vehicle Total Disc, Vehicle OTR Price,VRB,P11D Price,POL,Mileage,Finance Rental,Service Rental,Net Rental,Dis-allowed VAT,Total inc Disallow VAT,Excess Rate,POL,Mileage,Finance Rental,Service Rental,Net Rental,Dis-allowed VAT,Total inc Disallow VAT,Excess Rate,Electric Range,Battery Capacity,RDE2
100179,TOYA15DNP5HHIA  5,Toyota,Yaris,Toyota Yaris Hatchback 1.5 Hybrid Design 5Dr CVT [nav/panoramic Roof],2022,5,Petrol/Electric Hybrid,Hatchback,5,Auto,1,116,1490,92,57.7,18299.17,18299.17,2744.87,19576.15,0,22685,24,10000,222.76,0,222.76,22.28,245.04,7.55,36,15000,215.16,0,215.17,21.52,236.69,7.55,0,0.7, 
100180,TOYA15DNS5HHIA  5,Toyota,Yaris,Toyota Yaris Hatchback 1.5 Hybrid Design 5Dr CVT [nav],2022,5,Petrol/Electric Hybrid,Hatchback,5,Auto,1,116,1490,92,57.7,17886.67,17886.67,2683,19155.39,0,22190,24,10000,222.64,0,222.64,22.26,244.9,7.55,36,15000,213.52,0,213.53,21.35,234.88,7.55,0,0.7, 
100181,TOYA15GRC5HHIA  5,Toyota,Yaris,Toyota Yaris Hatchback 1.5 Hybrid GR Sport 5Dr CVT [city Pack],2022,5,Petrol/Electric Hybrid,Hatchback,5,Auto,1,116,1490,99,57.3,20132.5,20132.5,3019.87,21446.15,0,24885,24,10000,262.12,0,262.12,26.21,288.33,7.55,36,15000,245.62,0,245.63,24.56,270.19,7.55,0,0.7, 
100182,TOYA15GCB5HHIA  5,Toyota,Yaris,Toyota Yaris Hatchback 1.5 Hybrid GR Sport 5Dr CVT [city Pack/bi-tone],2022,5,Petrol/Electric Hybrid,Hatchback,5,Auto,1,116,1490,99,57.3,20895,20895,3134.25,22223.9,0,25800,24,10000,284.04,0,284.03,28.4,312.43,7.55,36,15000,261.61,0,261.61,26.16,287.77,7.55,0,0.7, 
100222,VACO00EP45HE A  6,Vauxhall,Corsa,Vauxhall Corsa-e Electric Hatchback 100kW Elite Premium 50kWh 5Dr Auto [7.4kwch],2022,5,Electric,Hatchback,5,Auto,1,136,1,0,0,25129.17,25129.17,251.29,30608.44,0,30855,24,10000,519.85,0,519.85,51.99,571.84,7.55,36,15000,420.9,0,420.9,42.09,462.99,7.55,209,50, 
100223,VACO00SER5HE A  6,Vauxhall,Corsa,Vauxhall Corsa-e Electric Hatchback 100kW SE Premium 50kWh 5Dr Auto [7.4kwch],2022,5,Electric,Hatchback,5,Auto,1,136,1,0,0,22125,22125,221.25,27039.5,0,27250,24,10000,441.97,0,441.97,44.2,486.17,7.55,36,15000,362.1,0,362.1,36.21,398.31,7.55,209,50, 
100224,VACO00SRQ5HE A  6,Vauxhall,Corsa,Vauxhall Corsa-e Electric Hatchback 100kW SRi Premium 50kWh 5Dr Auto [7.4kwch],2022,5,Electric,Hatchback,5,Auto,1,136,1,0,0,23166.67,23166.67,231.66,28277,0,28500,24,10000,458.5,0,458.5,45.85,504.35,7.55,36,15000,376.19,0,376.19,37.62,413.81,7.55,209,50, 
100226,MNCO15RED2VPTM  4,Mini,Cooper,Mini Convertible Special Editions 1.5 Cooper Resolute Edition 2Dr,2022,2,Petrol,Convertible,4,Manual,6,136,1499,139,47.1,21083.33,21083.33,0,26074.99,0,25825,24,10000,416.46,0,416.47,41.65,458.12,7.55,36,15000,356.58,0,356.59,35.66,392.25,7.55,0,0, 
100227,MNCO15RED2VPTA  4,Mini,Cooper,Mini Convertible Special Editions 1.5 Cooper Resolute Edition 2Dr Auto,2022,2,Petrol,Convertible,4,Semi-auto,7,136,1499,140,47.1,22250,22250,0,27474.99,0,27225,24,10000,448.14,0,448.14,44.81,492.95,7.55,36,15000,380.38,0,380.38,38.04,418.42,7.55,0,0, 
100228,MNCO15REN2VPTM  4,Mini,Cooper,Mini Convertible Special Editions 1.5 Cooper Resolute Edition 2Dr [nav Pack],2022,2,Petrol,Convertible,4,Manual,6,136,1499,139,47.1,21833.33,21833.33,0,26974.99,0,26725,24,10000,439.88,0,439.89,43.99,483.88,7.55,36,15000,373.77,0,373.77,37.38,411.15,7.55,0,0, 
