Variant,CAP Code,Make,Model,Variant Full Description,Model Year,Doors,Fuel,Body,Seats,Gearbox,Gears,BHP,Eng CC,CO2,Com-bined MPG,Vehicle List Price,Vehicle List Price Including Metallic Paint,Vehicle Total Disc, Vehicle OTR Price,VRB,P11D Price,POL,Mileage,Finance Rental,Service Rental,Net Rental,Dis-allowed VAT,Total inc Disallow VAT,Excess Rate,POL,Mileage,Finance Rental,Service Rental,Net Rental,Dis-allowed VAT,Total inc Disallow VAT,Excess Rate,Electric Range,Battery Capacity,RDE2
100102,JAFP30SP 5EDTA4 1,Jaguar,F-pace,Jaguar F-pace Diesel Estate 3.0 D300 Sport 5Dr Auto AWD,2022,5,Diesel,Estate,5,Auto,8,300,2996,199,36.2,50216.67,50216.67,0,62250.01,0,60775.01,24,20000,1085,0,1084.99,108.5,1193.49,23.1,24,30000,1142.35,0,1142.36,114.24,1256.6,23.8,0,0,RDE 2
100103,NILE00ACE5HE A  2,Nissan,Leaf,Nissan Leaf Hatchback 110kW Acenta 39kWh 5Dr Auto,2022,5,Electric,Hatchback,5,Auto,1,150,1,0,0,23700,23700,2133,24435.4,0,28440,24,20000,322.61,0,322.61,32.26,354.87,12.95,24,30000,352.27,0,352.27,35.23,387.5,12.95,168,39, 
100104,NILE00ACT5HE A  2,Nissan,Leaf,Nissan Leaf Hatchback 110kW Acenta 39kWh 5Dr Auto [tech Pack],2022,5,Electric,Hatchback,5,Auto,1,150,1,0,0,24075,24075,2166.75,24844.9,0,28890,24,20000,331.63,0,331.63,33.16,364.79,12.95,24,30000,361.3,0,361.29,36.13,397.42,13.3,168,39, 
100105,NILE00NCN5HE A  2,Nissan,Leaf,Nissan Leaf Hatchback 110kW N-connecta 39kWh 5Dr Auto,2022,5,Electric,Hatchback,5,Auto,1,150,1,0,0,25366.67,25366.67,2283,26255.39,0,30440,24,20000,366.43,0,366.43,36.64,403.07,13.3,24,30000,396.87,0,396.88,39.69,436.57,13.65,168,39, 
100106,NILE00TEK5HE A  2,Nissan,Leaf,Nissan Leaf Hatchback 110kW Tekna 39kWh 5Dr Auto,2022,5,Electric,Hatchback,5,Auto,1,150,1,0,0,26616.67,26616.67,2395.5,27620.39,0,31940,24,20000,390.88,0,390.88,39.09,429.97,13.65,24,30000,422.12,0,422.13,42.21,464.34,14.35,168,39, 
100107,NILE00ENA5HE A  2,Nissan,Leaf,Nissan Leaf Hatchback 160kW e+ N-connecta 59kWh 5Dr Auto,2022,5,Electric,Hatchback,5,Auto,1,217,1,0,0,27825,27825,2504.25,28939.9,0,33390,24,20000,387.34,0,387.34,38.73,426.07,15.05,24,30000,421.8,0,421.8,42.18,463.98,15.4,239,59, 
100108,NILE00EPT5HE A  2,Nissan,Leaf,Nissan Leaf Hatchback 160kW e+ Tekna 59kWh 5Dr Auto,2022,5,Electric,Hatchback,5,Auto,1,217,1,0,0,29075,29075,2616.75,31804.9,0,34890,24,20000,472.56,0,472.56,47.26,519.82,15.4,24,30000,507.84,0,507.83,50.78,558.61,16.1,239,59, 
100127,NILE00NPP5HE A  2,Nissan,Leaf,Nissan Leaf Hatchback 110kW N-connecta 39kWh 5Dr Auto [propilot Pack],2022,5,Electric,Hatchback,5,Auto,1,150,1,0,0,25741.67,25741.67,2316.75,26664.89,0,30890,24,20000,373.85,0,373.85,37.39,411.24,13.3,24,30000,404.3,0,404.3,40.43,444.73,14,168,39, 
100128,NILE00ENP5HE A  2,Nissan,Leaf,Nissan Leaf Hatchback 160kW e+ N-connecta 59kWh 5Dr Auto [propilot Pack],2022,5,Electric,Hatchback,5,Auto,1,217,1,0,0,28200,28200,2538,30849.4,0,33840,24,20000,455.53,0,455.53,45.55,501.08,15.05,24,30000,490.01,0,490,49,539,15.75,239,59, 
100129,R1CL10EVN5HPTM  7,Renault,Clio,Renault Clio Hatchback 1.0 TCe 90 Evolution 5Dr,2022,5,Petrol,Hatchback,5,Manual,6,90,999,119,53.3,14875,14875,1041.25,16882.24,669.38,18550,24,20000,297.5,0,297.5,29.75,327.25,8.05,24,30000,317,0,316.98,31.7,348.68,8.05,0,0, 
