CAP CODE,Manufacturer,Model,Variant,Basic List Price
DADU15PRE5EDTM  4,Dacia,Duster,Dacia Duster Diesel Estate 1.5 Blue dCi Prestige 5Dr,15462.5
DADU15PRE5EDTM4 4,Dacia,Duster,Dacia Duster Diesel Estate 1.5 Blue dCi Prestige 5Dr 4X4,17345.83
ABA914F593HPTM  1,Abarth,595C,Abarth 595 Hatchback 1.4 T-jet 165 F595 3Dr,17361.86
ABA914F593HPTA  1,Abarth,595C,Abarth 595 Hatchback 1.4 T-jet 165 F595 3Dr Auto,18486.86
ABA914F592VPTM  1,Abarth,595C,Abarth 595C Convertible 1.4 T-jet 165 F595 2Dr,19570.19
ABA914F592VPTA  1,Abarth,595C,Abarth 595C Convertible 1.4 T-jet 165 F595 2Dr Auto,20695.19
POMA20   5EPTA4 2,Porsche,Macan,Porsche Macan Estate 5Dr PDK,40808.33
POMA29S  5EPTA4 2,Porsche,Macan,Porsche Macan Estate S 5Dr PDK,45525
POMA29GTS5EPTA4 2,Porsche,Macan,Porsche Macan Estate GTS 5Dr PDK,55083.33
GSG722PRL4SDTA,Genesis,G70,Genesis G70 Diesel Saloon 2.2D Premium Line 4Dr Auto,28750
GSG720PRL4SPTA,Genesis,G70,Genesis G70 Saloon 2.0T Premium Line 4Dr Auto,26416.67
GSG722PLI4SDTA,Genesis,G70,Genesis G70 Diesel Saloon 2.2D Premium Line 4Dr Auto [innovation Pack],31458.33
GSG722LUL4SDTA,Genesis,G70,Genesis G70 Diesel Saloon 2.2D Luxury Line 4Dr Auto,30958.33
GSG722LLI4SDTA,Genesis,G70,Genesis G70 Diesel Saloon 2.2D Luxury Line 4Dr Auto [innovation Pack],33666.67
GSG722SPL4SDTA,Genesis,G70,Genesis G70 Diesel Saloon 2.2D Sport Line 4Dr Auto,31941.67
GSG722SLI4SDTA,Genesis,G70,Genesis G70 Diesel Saloon 2.2D Sport Line 4Dr Auto [innovation Pack],34650
